"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	Suppressed	298051	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	0	298321	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"2020"	"2020"	Suppressed	299382	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"2021"	"2021"	0	310800	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"2022 "	"2022"	0	305605	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	Suppressed	310344	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	Suppressed	310145	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2020"	"2020"	Suppressed	310232	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	12	323428	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2022 "	"2022"	Suppressed	318115	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	Suppressed	317261	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	11	315228	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2020"	"2020"	15	314320	Unreliable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	Suppressed	324253	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 "	"2022"	Suppressed	342016	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	54	323639	16.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	49	320479	15.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"2020"	"2020"	56	319071	17.6
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"2021"	"2021"	69	328462	21.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"2022 "	"2022"	60	347548	17.3
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	13	326143	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	11	327364	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"2020"	"2020"	10	328597	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"2021"	"2021"	14	332525	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"2022 "	"2022"	Suppressed	330780	Suppressed
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	70	317397	22.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	60	319865	18.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"2020"	"2020"	77	321949	23.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"2021"	"2021"	103	323898	31.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"2022 "	"2022"	80	327125	24.5
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	19	305364	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	24	306726	7.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"2020"	"2020"	22	308698	7.1
