"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	27728	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	29011	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	27821	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	0	29080	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Female"	"F"	0	27547	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Male"	"M"	0	28699	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Female"	"F"	0	27162	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Male"	"M"	0	28650	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2022 "	"2022"	"Female"	"F"	0	28393	Unreliable
	"Alabama"	"01"	"< 1 year"	"1"	"2022 "	"2022"	"Male"	"M"	0	29489	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	0	116211	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	0	120253	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	0	116821	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	0	120635	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020"	"2020"	"Female"	"F"	0	115270	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020"	"2020"	"Male"	"M"	0	120404	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Female"	"F"	0	115279	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Male"	"M"	0	120711	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2022 "	"2022"	"Female"	"F"	0	113687	Unreliable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2022 "	"2022"	"Male"	"M"	0	118730	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2018"	"2018"	"Female"	"F"	Suppressed	298051	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"2018"	"2018"	"Male"	"M"	Suppressed	310344	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"2019"	"2019"	"Female"	"F"	0	298321	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2019"	"2019"	"Male"	"M"	10	310145	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"2020"	"2020"	"Female"	"F"	Suppressed	299382	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"2020"	"2020"	"Male"	"M"	Suppressed	310232	Suppressed
