"Age","Sex","Deaths","Population","CR","YearGroup","Mechanism"
12,"Male",56,15278366,0.37,"2001-2007","Firearm"
12,"Female",NA,14552397,NA,"2001-2007","Firearm"
13,"Male",121,15292379,0.79,"2001-2007","Firearm"
13,"Female",26,14562264,0.18,"2001-2007","Firearm"
14,"Male",219,15243369,1.44,"2001-2007","Firearm"
14,"Female",52,14499825,0.36,"2001-2007","Firearm"
15,"Male",390,15311749,2.55,"2001-2007","Firearm"
15,"Female",91,14535499,0.63,"2001-2007","Firearm"
16,"Male",657,15345857,4.28,"2001-2007","Firearm"
16,"Female",105,14505660,0.72,"2001-2007","Firearm"
17,"Male",867,15258639,5.68,"2001-2007","Firearm"
17,"Female",125,14338504,0.87,"2001-2007","Firearm"
18,"Male",1210,15225999,7.95,"2001-2007","Firearm"
18,"Female",97,14297744,0.68,"2001-2007","Firearm"
19,"Male",1503,15202278,9.89,"2001-2007","Firearm"
19,"Female",127,14306181,0.89,"2001-2007","Firearm"
20,"Male",1473,15087514,9.76,"2001-2007","Firearm"
20,"Female",121,14248504,0.85,"2001-2007","Firearm"
21,"Male",1793,15046137,11.92,"2001-2007","Firearm"
21,"Female",170,14284549,1.19,"2001-2007","Firearm"
22,"Male",1738,14825512,11.72,"2001-2007","Firearm"
22,"Female",162,14141719,1.15,"2001-2007","Firearm"
23,"Male",1644,14579129,11.28,"2001-2007","Firearm"
23,"Female",177,14011043,1.26,"2001-2007","Firearm"
24,"Male",1619,14365171,11.27,"2001-2007","Firearm"
24,"Female",168,13923790,1.21,"2001-2007","Firearm"
25,"Male",1526,14136309,10.8,"2001-2007","Firearm"
25,"Female",190,13832897,1.37,"2001-2007","Firearm"
26,"Male",1462,13802069,10.59,"2001-2007","Firearm"
26,"Female",169,13621847,1.24,"2001-2007","Firearm"
27,"Male",1405,13589471,10.34,"2001-2007","Firearm"
27,"Female",171,13460164,1.27,"2001-2007","Firearm"
28,"Male",1404,13399979,10.48,"2001-2007","Firearm"
28,"Female",205,13219942,1.55,"2001-2007","Firearm"
29,"Male",1376,13354867,10.3,"2001-2007","Firearm"
29,"Female",198,13159116,1.51,"2001-2007","Firearm"
30,"Male",1392,13763080,10.11,"2001-2007","Firearm"
30,"Female",221,13540954,1.63,"2001-2007","Firearm"
31,"Male",1410,13832867,10.19,"2001-2007","Firearm"
31,"Female",195,13699986,1.42,"2001-2007","Firearm"
32,"Male",1399,14153704,9.88,"2001-2007","Firearm"
32,"Female",239,14049007,1.7,"2001-2007","Firearm"
