gender,deaths,agegroup,pop,deaths_100k,strictness,method,mode
Female,77,15,5445450,1.4140245526081408,Permissive,Suicide,Firearm
Female,86,16,5399546,1.5927264995982997,Permissive,Suicide,Firearm
Female,84,17,5403151,1.5546483894305378,Permissive,Suicide,Firearm
Female,112,18,5333910,2.099772962048479,Permissive,Suicide,Firearm
Female,104,19,5411640,1.9217834150091284,Permissive,Suicide,Firearm
Female,108,20,5496036,1.9650526306596245,Permissive,Suicide,Firearm
Female,147,21,5564901,2.641556426610285,Permissive,Suicide,Firearm
Female,166,22,5555492,2.988034183111055,Permissive,Suicide,Firearm
Female,183,23,5517038,3.316997272811969,Permissive,Suicide,Firearm
Female,157,24,5495051,2.8571163397755543,Permissive,Suicide,Firearm
Female,194,25,5507629,3.5223868564857947,Permissive,Suicide,Firearm
Female,162,26,5580610,2.902908463411706,Permissive,Suicide,Firearm
Female,187,27,5689603,3.2866968046803966,Permissive,Suicide,Firearm
Female,161,28,5784148,2.7834695792707933,Permissive,Suicide,Firearm
Female,219,29,5803835,3.773367092620655,Permissive,Suicide,Firearm
Female,186,30,5765391,3.2261471945267894,Permissive,Suicide,Firearm
Female,182,31,5685614,3.2010614860593773,Permissive,Suicide,Firearm
Female,185,32,5604516,3.300909480854368,Permissive,Suicide,Firearm
Female,162,33,5547415,2.9202790849431675,Permissive,Suicide,Firearm
Female,147,34,5503111,2.6712163356326997,Permissive,Suicide,Firearm
Female,181,35,5501301,3.2901308254174784,Permissive,Suicide,Firearm
Female,206,36,5507026,3.740676001892855,Permissive,Suicide,Firearm
Female,222,37,5509301,4.029549302171001,Permissive,Suicide,Firearm
Female,184,38,5524201,3.3307984267770125,Permissive,Suicide,Firearm
Female,191,39,5491393,3.4781702930385787,Permissive,Suicide,Firearm
Female,207,40,5413580,3.8237173921877945,Permissive,Suicide,Firearm
Female,189,41,5309520,3.559643809609908,Permissive,Suicide,Firearm
Female,171,42,5204953,3.2853322594843792,Permissive,Suicide,Firearm
Female,200,43,5125380,3.9021496942665714,Permissive,Suicide,Firearm
Female,190,44,5060863,3.7543004029154714,Permissive,Suicide,Firearm
Female,193,45,5031897,3.8355316096494025,Permissive,Suicide,Firearm
Female,209,46,5039633,4.147127380108829,Permissive,Suicide,Firearm
Female,197,47,5147571,3.8270477473744413,Permissive,Suicide,Firearm
Female,208,48,5235105,3.9731772333124167,Permissive,Suicide,Firearm
Female,260,49,5282669,4.921754514621302,Permissive,Suicide,Firearm
Female,223,50,5291329,4.2144421562144405,Permissive,Suicide,Firearm
Female,232,51,5236561,4.430388569903034,Permissive,Suicide,Firearm
Female,236,52,5163021,4.570967268969078,Permissive,Suicide,Firearm
Female,239,53,5182429,4.611737083132253,Permissive,Suicide,Firearm
Female,253,54,5278617,4.792922085462916,Permissive,Suicide,Firearm
Female,222,55,5399038,4.111843628438993,Permissive,Suicide,Firearm
Female,242,56,5498088,4.4015301319295,Permissive,Suicide,Firearm
Female,240,57,5596059,4.288732481197928,Permissive,Suicide,Firearm
Female,244,58,5650300,4.318354777622427,Permissive,Suicide,Firearm
Female,235,59,5648299,4.160544617060817,Permissive,Suicide,Firearm
Female,221,60,5621813,3.931116171953781,Permissive,Suicide,Firearm
Female,215,61,5557010,3.8689870991774353,Permissive,Suicide,Firearm
Female,186,62,5473005,3.3984986310080108,Permissive,Suicide,Firearm
Female,189,63,5403148,3.497960818396979,Permissive,Suicide,Firearm
Female,187,64,5305032,3.5249551746341963,Permissive,Suicide,Firearm
Female,167,65,5166731,3.2322178181910384,Permissive,Suicide,Firearm
Female,151,66,4997789,3.021336034794586,Permissive,Suicide,Firearm
Female,144,67,4846226,2.9713843308174237,Permissive,Suicide,Firearm
Female,135,68,4689267,2.878914764290453,Permissive,Suicide,Firearm
Female,140,69,4540636,3.083268511283441,Permissive,Suicide,Firearm
Female,110,70,4403898,2.4977871876233286,Permissive,Suicide,Firearm
Female,114,71,4320560,2.63854685503731,Permissive,Suicide,Firearm
Female,105,72,4038446,2.6000100038480145,Permissive,Suicide,Firearm
Female,99,73,3787306,2.6139952779099445,Permissive,Suicide,Firearm
Female,108,74,3545226,3.046350218575628,Permissive,Suicide,Firearm
Female,69,75,3321574,2.077328399126438,Permissive,Suicide,Firearm
Female,83,76,2965182,2.799153643857274,Permissive,Suicide,Firearm
Female,79,77,2802980,2.818428957752107,Permissive,Suicide,Firearm
Female,67,78,2627500,2.5499524262607043,Permissive,Suicide,Firearm
Female,55,79,2431407,2.2620647221958317,Permissive,Suicide,Firearm
Female,41,80,2208891,1.8561350469534261,Permissive,Suicide,Firearm
Female,43,81,2024411,2.1240746073796277,Permissive,Suicide,Firearm
Female,35,82,1869100,1.8725589856080467,Permissive,Suicide,Firearm
Female,31,83,1728855,1.7930942733774666,Permissive,Suicide,Firearm
Female,25,84,1575532,1.5867656131389272,Permissive,Suicide,Firearm
Male,415,15,5685214,7.2996372695909075,Permissive,Suicide,Firearm
Male,525,16,5630614,9.32402753944774,Permissive,Suicide,Firearm
Male,608,17,5635856,10.788068396353632,Permissive,Suicide,Firearm
Male,755,18,5617238,13.440769289106141,Permissive,Suicide,Firearm
Male,965,19,5701363,16.92577722204322,Permissive,Suicide,Firearm
Male,949,20,5744440,16.52032225943695,Permissive,Suicide,Firearm
Male,1395,21,5815068,23.98940132772308,Permissive,Suicide,Firearm
Male,1340,22,5822375,23.014663260267504,Permissive,Suicide,Firearm
Male,1322,23,5797246,22.80393138397094,Permissive,Suicide,Firearm
Male,1241,24,5775920,21.48575465034142,Permissive,Suicide,Firearm
Male,1187,25,5785242,20.517724236946353,Permissive,Suicide,Firearm
Male,1197,26,5840961,20.4932030876426,Permissive,Suicide,Firearm
Male,1114,27,5907467,18.857490020680608,Permissive,Suicide,Firearm
Male,1097,28,5957160,18.414815113241882,Permissive,Suicide,Firearm
Male,1099,29,5935388,18.51605994418562,Permissive,Suicide,Firearm
Male,1140,30,5863968,19.44076093184683,Permissive,Suicide,Firearm
Male,1026,31,5765849,17.79443062071171,Permissive,Suicide,Firearm
Male,1053,32,5680329,18.537658646180528,Permissive,Suicide,Firearm
Male,974,33,5615916,17.343564255590717,Permissive,Suicide,Firearm
Male,981,34,5559082,17.646798518172606,Permissive,Suicide,Firearm
Male,952,35,5539603,17.18534703660172,Permissive,Suicide,Firearm
Male,941,36,5526274,17.027747809826295,Permissive,Suicide,Firearm
Male,963,37,5514402,17.46336230111624,Permissive,Suicide,Firearm
Male,985,38,5526061,17.824631324192765,Permissive,Suicide,Firearm
Male,986,39,5490049,17.95976684361105,Permissive,Suicide,Firearm
Male,934,40,5407126,17.273501671682887,Permissive,Suicide,Firearm
Male,945,41,5288659,17.8684237346367,Permissive,Suicide,Firearm
Male,891,42,5169625,17.235292695311554,Permissive,Suicide,Firearm
Male,881,43,5083818,17.329495273040852,Permissive,Suicide,Firearm
Male,878,44,5007839,17.532512526860387,Permissive,Suicide,Firearm
Male,928,45,4962665,18.699630138242256,Permissive,Suicide,Firearm
Male,891,46,4958220,17.970158645642993,Permissive,Suicide,Firearm
Male,884,47,5063010,17.459969464804534,Permissive,Suicide,Firearm
Male,1000,48,5152421,19.408351918447657,Permissive,Suicide,Firearm
Male,960,49,5207121,18.43629137867163,Permissive,Suicide,Firearm
Male,1008,50,5224924,19.292146641750197,Permissive,Suicide,Firearm
Male,1010,51,5167167,19.546494239493324,Permissive,Suicide,Firearm
Male,994,52,5077787,19.575456788557695,Permissive,Suicide,Firearm
Male,1008,53,5073881,19.86644937080708,Permissive,Suicide,Firearm
Male,1047,54,5136852,20.382132870481765,Permissive,Suicide,Firearm
Male,1113,55,5215326,21.340947814192248,Permissive,Suicide,Firearm
Male,1072,56,5270599,20.339244173195492,Permissive,Suicide,Firearm
Male,1152,57,5330279,21.612377138232354,Permissive,Suicide,Firearm
